id,created_at,author_id,text,geo
1953018811751321767,2025-08-06 09:02:24+00:00,1945043407740477440,RT @EinFrankfurtTR: 😂 @FCBayernTurkish  Frankfurt 5-1 Bayern - Sex On The Beach https://t.co/7RjZrs0Rjv,
1953018773583061145,2025-08-06 09:02:15+00:00,1408199199682961409,"RT @svenPoe: Ab Fahrplanwechsel fahren wir mit dem ICE4 von Frankfurt direkt nach Klagenfurt, Kühnsdorf und Graz: ein wichtiger Impuls für…",
1953018712425918561,2025-08-06 09:02:01+00:00,2697683839,Hessenmeisterin auf der Mitteldistanz und Siegerin in der Jedermann-Distanz 😍 Der Frankfurt City Triathlon war für die Eintracht-Triathlet:innen ein voller Erfolg. Zum Nachbericht ⬇ #SGE #eintracht #frankfurt #EintrachtFrankfurt https://t.co/24PUKNopNv,
1953018474780860508,2025-08-06 09:01:04+00:00,4141157596,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953018396083101822,2025-08-06 09:00:45+00:00,1016249698791886849,RT @Inno_Trends: #ATOS nach langer Durststrecke heute stark ...  Kurz die 36 angekratzt ... kommt der #Turnaround ?  https://t.co/OBCbns1uq…,
1953018353020182606,2025-08-06 09:00:35+00:00,96958667,"🎮 Die Gamer’s Paradise Tour 2025 steht vor der Tür! Jan Hegenberg live mit neuen &amp; legendären Gaming-Songs. 🎟️ Tickets sichern: https://t.co/AeTfdZ5tTY 🔥 Berlin, Frankfurt, Witten, Hamburg, München… #GamersParadise2025 #HegenbergLive https://t.co/wd4Dt49y2Z",
1953018166742765703,2025-08-06 08:59:50+00:00,1441732922004754444,RT @Inno_Trends: #ATOS nach langer Durststrecke heute stark ...  Kurz die 36 angekratzt ... kommt der #Turnaround ?  https://t.co/OBCbns1uq…,
1953018044814438500,2025-08-06 08:59:21+00:00,1538354196,RT @Inno_Trends: #ATOS nach langer Durststrecke heute stark ...  Kurz die 36 angekratzt ... kommt der #Turnaround ?  https://t.co/OBCbns1uq…,
1953017874072613324,2025-08-06 08:58:41+00:00,1016249698791886849,#ATOS nach langer Durststrecke heute stark ...  Kurz die 36 angekratzt ... kommt der #Turnaround ?  https://t.co/OBCbns1uqA  #Börse #Bourse #Aktien #Frankreich #France #Paris  #Berlin #Hamburg #München #Munich #Köln #Cologne #Frankfurt #Stuttgart #Düsseldorf #Leipzig #Dortmund https://t.co/cN9TKaWQ5o,
1953017012193464475,2025-08-06 08:55:15+00:00,697516212411113472,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953016783209660886,2025-08-06 08:54:21+00:00,847147524192419840,"Jonny #Burkardt: „Ich hoffe, dass ich Eintracht Frankfurt wirklich guttun kann. Charakterlich und auf dem Platz. Aber davon bin ich auch überzeugt, sonst wäre ich nicht hier.“ Die SGE sei für ihn kein Karrieresprungbrett, sondern er sehe sich langfristig in Frankfurt."" #SGE https://t.co/nLs9qu2I5o",
1953016378962649137,2025-08-06 08:52:44+00:00,260388787,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953016178739188139,2025-08-06 08:51:56+00:00,1752399726694236160,@BhraBronzy The difference was Marmoush and Ekitike were in Frankfurt that was in better form than Leipzig.,
1953015888631693787,2025-08-06 08:50:47+00:00,1119190871713488896,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953015483319701505,2025-08-06 08:49:11+00:00,1683057332249411586,RT @OvertonMagazin: Wir sollten heute alle nach #Hiroshima schauen. Dort gedenkt man dem 80. Jahrestag des Atombombenabwurfes. Wir sollten…,
1953014738838843521,2025-08-06 08:46:13+00:00,1784618410095108096,RT @morethan_less: Anlässlich des ME/CFS Severe Awareness Day gibt es am 09.08. in Frankfurt von 11-14 Uhr einen Infostand mit Liegend-Dars…,
1953014711525511595,2025-08-06 08:46:07+00:00,1939692168106414080,RT @EinFrankfurtTR: 😂 @FCBayernTurkish  Frankfurt 5-1 Bayern - Sex On The Beach https://t.co/7RjZrs0Rjv,
1953014636342645115,2025-08-06 08:45:49+00:00,1934289026728730624,RT @EinFrankfurtTR: 😂 @FCBayernTurkish  Frankfurt 5-1 Bayern - Sex On The Beach https://t.co/7RjZrs0Rjv,
1953014311086932063,2025-08-06 08:44:31+00:00,1659525199799132160,"@SebastianG_De Berlin, Hamburg, Köln, Frankfurt, Stuttgart, Düsseldorf etc.  erheben kein Betreuungsgeld.  Im Umland dagegen werden mehrere 100 € pro Monat verlangt.   Woran liegt das?  Bevölkerungszusammensetzung?  ""Zuviel"" Geld in den Großstädten u. ""Zu wenig"" im Umland?  Parteipolitik?",
1953014229528703449,2025-08-06 08:44:12+00:00,1829503332198567936,RT @staatsversagen: Junge Männer von schwarzhaarigen Orientalen niedergestochen und lebensgefährlich verletzt https://t.co/7XlHX6mq8M,
1953014014008533396,2025-08-06 08:43:20+00:00,1321155131501649924,"Gwechenberger und Grüne schon geil, wann könne wir wieder Wald vernichten? Es ist so schön, wenn Bäume fallen. Frankfurt verliert immer mehr Wald, hat die Statistik neulich herausgefunden.   Trotz Grüner Propaganda! https://t.co/U51FWIrjsw",
1953013380123353194,2025-08-06 08:40:49+00:00,2905419754,@roninxtt @RockefellaK Frankfurt-Verbot!  https://t.co/suAqU2f8Ur,
1953012817440743511,2025-08-06 08:38:35+00:00,1263498465289678849,"@RadwegH Es ist so primitiv, die Mitarbeiter anzugreifen. Dieselben Autofahrer würden werweißwie schimpfen, wenn sie gegen den Bagger stoßen, warum niemand die Baustelle abgesichert hat. Ich würde jeden Polizisten befördern, wenn er pro Tag 5 Führerscheine in einer Großstadt wie Frankfurt",
1953012716039258539,2025-08-06 08:38:11+00:00,1588877607269015553,"In Frankfurt sind d dt Bevölkerung in d Minderheit  Wo is d Politik, d die Minderheit schützt   Wo will man lieber Leben   Warschau oder Frankfurt  👇👇👇👇 https://t.co/cJS3s10OXY",
1953012471599378637,2025-08-06 08:37:13+00:00,1782706130080137216,RT @EinFrankfurtTR: 😂 @FCBayernTurkish  Frankfurt 5-1 Bayern - Sex On The Beach https://t.co/7RjZrs0Rjv,
1953012256628670969,2025-08-06 08:36:21+00:00,394981872,"RT @apollo_news_de: Zwei Jugendliche sind in Frankfurt schwer verletzt worden, nachdem Migranten sie in der Nacht zum Samstag mit Messern a…",
1953012171144585677,2025-08-06 08:36:01+00:00,20666989,RT @thespursweb: #GoalOfTheDay | Pedro Porro vs Eintracht Frankfurt [2025]  https://t.co/sfQDSeJxrV,
1953011811646882192,2025-08-06 08:34:35+00:00,121039932,Knuspr startet Spendenaktion zugunsten der Stiftung Waisenhaus Frankfurt https://t.co/O3hAThCxO8 #ots #soziales #news https://t.co/dqTSJHPGak,
1953011760622952683,2025-08-06 08:34:23+00:00,1952776373837160448,😂 @FCBayernTurkish  Frankfurt 5-1 Bayern - Sex On The Beach https://t.co/7RjZrs0Rjv https://t.co/cc1H9C1SN5,
1953011709066588441,2025-08-06 08:34:11+00:00,1512007008752443393,RT @thespursweb: #GoalOfTheDay | Pedro Porro vs Eintracht Frankfurt [2025]  https://t.co/sfQDSeJxrV,
1953010420052066599,2025-08-06 08:29:03+00:00,1953003046142623744,"RT @Polizei_Ffm: #Frankfurt  💔 Achtung vor #Lovescam❗  Ein Unbekannter gab sich bei einem Nachrichtendienst als „Nora“ aus, täuschte dem Ge…",
1953010021362491803,2025-08-06 08:27:28+00:00,1457426905037168651,RT @thespursweb: #GoalOfTheDay | Pedro Porro vs Eintracht Frankfurt [2025]  https://t.co/sfQDSeJxrV,
1953010020079018271,2025-08-06 08:27:28+00:00,22881080,RT @Mausebaer17: UNITED4GAZA – FRANKFURT RUFT! 30.08.2025 | 15:00 | Hafenpark - Europäische Zentralbank (EZB) Israel  begeht einen Völkermo…,
1953009930492957155,2025-08-06 08:27:07+00:00,79273411,"Ein neues Forschungszentrum in Frankfurt untersucht, wie Christentum, Judentum und Islam sich über Jahrhunderte gegenseitig geprägt haben – im Dialog, in Konflikten und im Zusammenleben. https://t.co/FDrBqmpA3p",
1953009628943396943,2025-08-06 08:25:55+00:00,1255818898986938368,#RegioBB #RE10 Ausfall #RE18387 von Frankfurt(Oder) (09:36) bis Ziltendorf. Grund: Reparatur an einer Weiche. Nutzen Sie den nachfolgenden Zug ab Frankfurt(Oder) (10:36).,
1953009503365935524,2025-08-06 08:25:25+00:00,720976353022066688,"@FCBayern @emirates Jetzt also klimaneutral mit einer A380 zum Auswärtsspiel nach Frankfurt, Gladbach, Berlin, Leipzig oder Hamburg.",
1953009439637729458,2025-08-06 08:25:10+00:00,2728562296,"@ntifascistaggu Ah, dachte schon Frankfurt Hauptbahnhof.",
1953009097676079355,2025-08-06 08:23:48+00:00,1923410583321186304,@RockefellaK Frankfurt Street Interviews sind ein rabbithole für sich da merkste erstmal wir haben little britain vicky lange übertroffen https://t.co/Cu5zPiBg0B,
1953008453980492110,2025-08-06 08:21:15+00:00,1951589588411064320,RT @Sapphire__96: Bundesliga Prognose: 1. VfB Stuttgart 2. Eintracht Frankfurt 3. Bayern 4. Leverkusen 5. Freiburg 6. Dortmund 7. Leipzig 8…,
1953008379154034785,2025-08-06 08:20:57+00:00,1519337156124237824,@KaiserW1914_II Im Balkanzug sitz ich immer wenn ich in Frankfurt umsteigen muss,
1953008257372455051,2025-08-06 08:20:28+00:00,1489038320344698880,"Frankfurt, Bankfurt, Punkfurt, Krankfurt, Zankfurt, Frankfurz, Francopianofore, Dribbdebach, Mainhattan, Bankrottfurt.",
1953008141924172057,2025-08-06 08:20:00+00:00,1255818898986938368,#RegioBB #RE10 Ausfall #RE18382 von Ziltendorf (10:05) bis Frankfurt(Oder). Grund: Reparatur an einer Weiche. Nutzen Sie den nachfolgenden Zug ab Ziltendorf (11:05).,
1953008119732219985,2025-08-06 08:19:55+00:00,4119451264,"#Servicetweet Noch sind wir in #UK doch #Lizzy geht es besser. Denke Freitag können wir heimfliegen. Bis dahin erfreuen wir uns am kostenlosen ETF Magazin, gesponsored von der @boersefrankfurt Dankeschön. https://t.co/UF0RCJJ1MU",
1953008001238855994,2025-08-06 08:19:27+00:00,1477744912640745475,RT @dfbpokalft: DFB POKAL S3  ROAD TO FRANKFURT https://t.co/UkIP1SHSfd,
